Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
China,Hong Kong Qinfa Shipping Limited,Qinfa 6,8400440,Panama,"Alang, India",Hong Kong Qinfa Shipping Limited,Hong Kong Qinfa Shipping Limited,1984,418,12553,Bulker,Y,
China,Hongyuan Marine Company Limited ,Hong Virtue,8209121,Panama,"Alang, India",Hongyuan Marine Company Limited ,Hong Virtue Shipping Company Limited ,1983,unknown,7976,General cargo ship,Y,
China,Hubei Qintai Shipping Company Limited,Top Advancer,8209638,Panama,"Alang, India",Hubei Qintai Shipping Company Limited,Top Field Asia Pacific Limited ,1983,489,8055,General cargo ship,N,
China,Jinrun Shipping Company Limited,Heng Shun Da,8028864,Panama,"Alang, India",Jinrun Shipping Company Limited,HSD Shipping Company Limited ,1983,375,9180,Bulker,N,
China,Nanjing Hua Hai Shipping Company Limited,Hua Jin Hu,7908902,Panama,"Alang, India",Nanjing Hua Hai Shipping Company Limited,HK Huajinhu Shipping Company Limited ,1981,495,11596,Bulker,Y,
China,Oriental Ocean Shipping Holding Private Limited ,Welmountain,8802430,Panama,"Alang, India",Oriental Ocean Shipping Holding Private Limited ,Hongyang Shipping Private Limited ,1989,unknown,24308,Bulk ore carrier,Y,
China,China Ocean Shipping (Group) Company (COSCO) ,Princess Katherine,8407668,Sierra Leone,"Alang, India",COSCO Shanghai Ship Management Company Limited (COSHIPMAN) ,Proflourish International Shipping Company Limited ,1986,440,unknown,Bulk and oil carrier,N,
China,CSC Nanjing Tanker Corporation,Asia Star,8007987,Singapore,"Alang, India",CSC Oil Transportation Private Limited ,Shun Da Marine Transportation Company (S) Private Limited ,1982,unknown,unknown,Chemical and oil tanker,N,
China,Hongyuan Marine Company Limited ,Yuan Tong,8130253,St Vincent & Grenadines,"Alang, India",Hongyuan Marine Company Limited ,Yuan Tong Maritime Company Limited ,1985,unknown,unknown,General cargo ship,Y,
China,Nanjing Ocean Shipping Company Limited ,Yuan Cheng,8421963,St Vincent & Grenadines,"Alang, India",Nanjing Ocean Shipping Company Limited ,Yong Ding Men Shipping Company Limited ,1986,405,7560,General cargo ship,Y,
China,Fujian Xinan Shipping Company Limited,Great On,7918268,Tuvalu,"Alang, India",Fujian Xinan Shipping Company Limited,Great One Shipping Company Limited ,1981,unknown,11480,Bulker,N,
Croatia,Losinjska Plovidba Brodarstvo d.o.o. ,Karolina,8308068,Malta,"Alang, India",Losinjska Plovidba Brodarstvo d.o.o. ,Losinjska Plovidba Brodarstvo d.o.o. ,1986,unknown,8029,Bulker,Y,
Croatia,Losinjska Plovidba Brodarstvo d.o.o.,Karmen,8318855,St Vincent & Grenadines,"Alang, India",Losinjska Plovidba Brodarstvo d.o.o.,River Shipping Company Limited ,1983,480,9359,March,Y,
Cyprus,SMT Shipmanagement & Transport Limited,Heron,7380760,Bahamas,"Alang, India",SMT Shipmanagement & Transport Limited,Heron Limited ,1975,495,10627,General Cargo ship,N,
Cyprus,SMT Shipmanagement & Transport Limited,Miranda,7715965,Bahamas,"Alang, India",SMT Shipmanagement & Transport Limited,Miranda Shipping Limited ,1979,500,14275,General Cargo ship,Y,
Cyprus,Cyprus Maritime Company Limited ,Conti Express,8009466,Cyprus,"Alang, India",Cyprus Maritime Company Limited ,Applegate Marine Company Limited ,1981,unknown,8815,Containership,Y,
Cyprus,Lemissoler Shipmanagement Company Limited ,Alida Gorthon,7524201,Cyprus,"Alang, India",Lemissoler Shipmanagement Company Limited ,Blow Sea Shipping Limited ,1977,unknown,unknown,General cargo ship,N,
Cyprus,Lemissoler Shipmanagement Company Limited ,Forest Trader,7612656,Cyprus,"Alang, India",Lemissoler Shipmanagement Company Limited ,Blow Wind Shipping Limited ,1977,unknown,6318,General cargo ship,N,
Cyprus,Oceanmaris Management Incorporated ,Texas,8421975,Cyprus,"Alang, India",Oceanstar Management Incorporated ,Avonette Limited ,1987,unknown,7628,General cargo ship,Y,
Cyprus,Sadent Shipping Limited,Victoria,7725702,Dominica,"Alang, India",Sadent Shipping Limited,World Shipping Limited - Belize ,1979,428,5150,Bulker,Y,
Cyprus,Lemissoler Shipmanagement Company Limited ,China,8917754,Liberia,"Alang, India",Lemissoler Shipmanagement Company Limited ,Prime Time Shipping Limited ,1992,unknown,20528,Bulker,Y,
Cyprus,SP Shipmanagement Limited,Sea Dream,7433062,Malta,"Alang, India",SP Shipmanagement Limited,Nadezhda Marine Limited ,1981,500,7296,Bulker,N,
Cyprus,Lemissoler Shipmanagement Company Limited ,Grace,8217025,Marshall Islands,"Alang, India",Lemissoler Shipmanagement Company Limited ,Prime Sky Maritime Limited ,1984,unknown,14342,Containership,Y,
Cyprus,Lemissoler Shipmanagement Company Limited ,Greet,8204523,Marshall Islands,"Alang, India",Lemissoler Shipmanagement Company Limited ,Prime Star Maritime Limited ,1984,unknown,14180,Containership,Y,
Cyprus,Interorient Navigation Company Limited,Champion 1,9137909,St Kitts-Nevis,"Alang, India",Interorient Marine Services (Germany) GmbH & Company KG ,CTO Gesellschaft fur Container Transport mbH & Company ms Champion KG ,1997,407,11950,Containership,N,
Cyprus,Louis plc,Emerald,5312824,St Kitts-Nevis,"Alang, India",Louis Cruises Limited ,Ionian Cruise Lines S.A. ,1958,unknown,16007,Passenger Ship,Y,
Denmark,Dania Marine ApS ,Sujin,9004205,Malta,"Alang, India",Dania Marine ApS ,K/S mv Sujin ,1992,unknown,4950,Containership,Y,
Denmark,Dannebrog Rederi AS,Marienborg,7716660,Panama,"Alang, India",Dannebrog Rederi AS,Nordana Shipping Singapore Private Limited ,1979,450,14120,Ro-Ro,Y,
Denmark,Dansk Investeringsfond (DIFKO) ,Power 11,9014729,St Kitts-Nevis,"Alang, India",Dansk Investeringsfond (DIFKO) ,K/S Difko LXXIII ,1992,415,14650,Bulk and Oil Carrier,N,
Egypt,Red Sea Navigation Company,Tiran,8316302,Panama,"Alang, India",Sea Gate Management Company S.A. ,Phoenix Navigation Company S.A. ,1984,388,6243,Bulker,Y,
Germany,Rickmers Reederei GmbH & Cie KG,Elisabeth,9082790,Antigua & Barbuda,"Alang, India",Rickmers Reederei GmbH & Cie KG,ms Elisabeth Rickmers Schiffsbeteiligungs GmbH & CompanyKG,1995,442,7400,Containership,Y,
Germany,Conti Holding GmbH & Company KG ,Lais,8908179,Comoros,"Alang, India",Conti Reederei Management GmbH & Company Konzeptions KG,Conti Cristallo Schiffahrts-GmbH & Company KG ms Contship La Spezia ,1990,unknown,6710,Containership,N,
Germany,Conti Holding GmbH & Company KG ,Conti Shanghai,9113630,Germany,"Alang, India",Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Shipping GmbH & Company KG ms Norasia Shanghai ,1996,unknown,14850,Containership,Y,
Germany,Leonhardt & Blumberg Group ,India,9070967,Germany,"Alang, India",Leonhardt & Blumberg Schiffahrtsges. mbH & Company ,Schiffahrts-Gesellschaft Hansa India mbH & Company,1994,unknown,13542,Containership,Y,
Germany,Conti Holding GmbH & Company KG ,Asia,9053244,Liberia,"Alang, India",Conti Reederei Management GmbH & Company Konzeptions KG,Conti Zweite Cristallo Schiffahrts-GmbH & Company KG ms Contship Asia ,1993,unknown,6940,Containership,N,
Germany,Conti Holding GmbH & Company KG ,Crown,8808599,Liberia,"Alang, India",NSB Niederelbe Schiffahrtsgesellschaft mbH & Company KG ,Buxmar Container Schiffahrtsgesellschaft GmbH & Company KG ,1989,427,7125,Containership,N,
Germany,Dr. Peters GmbH & Company KG ,Cape Natal,9112894,Liberia,"Alang, India",Dr. Peters GmbH & Company KG ,DS-Rendite-Fonds Nr.43 ms Cape Natal Gmbh & Company ,1995,unknown,8220,Containership,Y,
Germany,Dr. Peters GmbH & Company KG ,Cape Scott,9134696,Liberia,"Alang, India",DS-Schiffahrt GmbH & Company KG ,DS-Rendite-Fonds Nr.51 ms Cape Scott GmbH & Company Containerschiff KG ,1997,unknown,5822,Containership,Y,
Germany,F. Laeisz Schiffahrtsges.mbH & Company,Hanjin Osaka,9015527,Liberia,"Alang, India",F. Laeisz Schiffahrtsges.mbH & Company,Pelapas Maritime Incorporated ,1992,447,unknown,Containership,Y,
Germany,F. Laeisz Schiffahrtsges.mbH & Company,Palermo,9008548,Liberia,"Alang, India",Reederei F. Laeisz GmbH,ms Palermo Senator GmbH & Company KG ,1992,495,12297,Containership,N,
Germany,Hermann Buss GmbH & Cie KG,Trave Trader,9080534,Liberia,"Alang, India",Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Trave Trader GmbH & Company,1994,unknown,7352,Containership,Y,
Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,Elis,9070656,Liberia,"Alang, India",Martime-Gesellschaft fur Maritime Dienstleistungen mbH,ms Elisabeth Transcon Beteiligungsges. mbH & Company KG,1994,unknown,8574,Containership,Y,
Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,Tag 81,9122215,Liberia,"Alang, India",Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,CTO Gesellschaft fur Container Transport mbH & Company ms Tegesos KG ,1996,407,11850,Containership,N,
Germany,Neu Seeschiffahrt GmbH,Mosel N.,9085338,Liberia,"Alang, India",Neu Seeschiffahrt GmbH,Mosel Ore Shipping Limited ,1995,410,16477,Bulker,Y,
Germany,Norddeutsche Vermogen Holding GmbH & Company,Buxmaster,8513807,Liberia,"Alang, India",Norddeutsche Vermogensanlage GmbH & Company KG ,Reederei Unterelbe GmbH & Company Schiffahrts KG ,1986,510,6837,Containership,N,
Germany,NSC Holding GmbH & Cie KG,Ayo,9134567,Liberia,"Alang, India",NSC Schifffahrtsgesellschaft mbH & Cie. KG ,FHH Fonds Nr. 27 ms Silver Bay-ms Sunset Bay GmbH & Company Containerschiff KG ,1998,411,8040,Containership,Y,
Germany,Seereederei Baco-Liner GmbH ,Baco-Liner 3,8203696,Liberia,"Alang, India",Seereederei Baco-Liner GmbH ,Baco-Liner 3 Shipping Company ,1984,365,9104,Barge Container Carrier,N,
Germany,MACS Maritime Carrier Shipping GmbH & Company KG,Algoa Bay,7701641,Marshall Islands,"Alang, India",MACS Maritime Carrier Shipping GmbH & Company KG,Algoa Bay Shipping Corporation ,1978,unknown,8965,General Cargo ship,Y,
Germany,Reederei Nord GmbH ,R. Partner,9057161,Marshall Islands,"Alang, India",Reederei Nord GmbH ,Nordpartner Shipping Company Limited ,1994,445,unknown,Containership,Y,
Germany,John T. Essberger GmbH & Company,Invicta,8201791,Panama,"Alang, India",John T. Essberger GmbH & Company,Lafarge Shipping Services Limited ,1983,unknown,4594,Bulk Cement Carrier,Y,
Germany,Dr. Peters GmbH & Company KG,Ape R.,9005417,Sierra Leone,"Alang, India",Dr. Peters GmbH & Company KG,DS-Rendite-Fonds Nr.45 ms Cape Race GmbH & Company Containerschiff KG ,1993,348,13496,Containership,Y,
Germany,Norddeutsche Vermogen Holding GmbH & Company ,TSM,9062972,Sierra Leone,"Alang, India",H. Schuldt OHG (GmbH & Company),Schiffahrtsgesellschaft ms Lutjenburg mbH & Company KG ,1995,unknown,unknown,Containership,N,
Germany,F.A. Vinnen & Company GmbH & Company KG ,M.Sky,9158977,St Kitts-Nevis,"Alang, India",F.A. Vinnen & Company GmbH & Company KG ,Erste Schiffahrts-Gesellschaft Merkur Sky mbH & Company KG,1997,422,10265,Containership,N,
Germany,Hapag-Lloyd Aktiengesellschaft,Endura,8204626,St Kitts-Nevis,"Alang, India",Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd Ships Limited ,1983,unknown,13365,Containership,Y,
Germany,Hapag-Lloyd Aktiengesellschaft,Express,8208270,St Kitts-Nevis,"Alang, India",Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd (Eastwind) Private Limited ,1984,unknown,15534,Containership,N,
Germany,Hapag-Lloyd Aktiengesellschaft ,Go Express,8208268,St Kitts-Nevis,"Alang, India",Hapag-Lloyd Aktiengesellschaft ,Hapag-Lloyd (Eastwind) Private Limited ,1984,unknown,8489,Containership,Y,
Germany,Hapag-Lloyd Aktiengesellschaft ,Tower,8103406,St Kitts-Nevis,"Alang, India",Hapag-Lloyd Aktiengesellschaft ,Hapag-Lloyd Aktiengesellschaft ,1982,unknown,13820,Containership,Y,
Germany,Hermann Buss GmbH & Cie KG,A. Trader,9123104,St Kitts-Nevis,"Alang, India",Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Atlantic Trader GmbH & Company,1996,425,7376,Containership,Y,
Germany,Hermann Buss GmbH & Cie KG,E. Trader,9080522,St Kitts-Nevis,"Alang, India",Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Elbe Trader GmbH & Company,1994,425,7170,Containership,Y,
Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,Ducia,9141132,St Kitts-Nevis,"Alang, India",Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,ms Fiducia Transcon Beteiligungsges. mbH & Company KG,1997,485,7329,Containership,Y,
Germany,Norddeutsche Vermogen Holding GmbH & Company,Felicity,9082386,St Kitts-Nevis,"Alang, India",Norddeutsche Vermogensanlage GmbH & Company KG ,Beteiligungs KG ms Northern Felicity ,1994,435,7135,Containership,Y,
Germany,Reederei Claus-Peter Offen (GmbH & Company KG),Nica,8918992,St Kitts-Nevis,"Alang, India",Reederei Claus-Peter Offen (GmbH & Company KG),Kommanditgesellschaft ms Santa Monica Beteiligungsges mbH ,1991,355,8515,Containership,N,
Germany,Reederei Karl Schluter GmbH & Company KG,C Wind,9104897,St Kitts-Nevis,"Alang, India",Reederei Karl Schluter GmbH & Company KG,Beteiligungs KG ms Northern Dignity Schiffahrtsges. mbH & Company,1995,455,14435,Containership,Y,
Germany,Reederei Karl Schluter GmbH & Company KG,G.S.M.,8901858,St Kitts-Nevis,"Alang, India",Reederei Karl Schluter GmbH & Company KG,KG RGR-Reedereigesellschaft Rendsburg mbH & Company ms German Senator ,1990,unknown,8596,Containership,N,
Germany,Reederei Karl Schluter GmbH & Company KG,SPM,9070761,St Kitts-Nevis,"Alang, India",Reederei Karl Schluter GmbH & Company KG,ms Northern Harmony Schiffahrtsgesellschaft mbH & Company KG ,1994,unknown,7734,Containership,Y,
Germany,XSM Cross Ship Management GmbH,Eva,9081734,St Kitts-Nevis,"Alang, India",XSM Cross Ship Management GmbH,Teval Shipping Company Limited ,1994,326,7015,Containership,Y,
Germany,XSM Cross Ship Management GmbH,Glory 2,9070008,St Kitts-Nevis,"Alang, India",XSM Cross Ship Management GmbH,Marwan Shipping Company Limited ,1994,unknown,7015,Containership,Y,
Germany,Hermann Buss GmbH & Cie KG,Trader,9123116,Tuvalu,"Alang, India",Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Pacific Trader GmbH & Company,1996,407,7393,Containership,Y,
Germany,Reederei Claus-Peter Offen (GmbH & Company KG),San Enzo,9046215,Tuvalu,"Alang, India",Reederei Claus-Peter Offen (GmbH & Company KG),KG ms San Lorenzo Contrans Beteiligungsgesellschaft GmbH & Company ,1993,unknown,6911,Containership,Y,
Greece,Chartworld Shipping Corporation ,Capricorn,8713603,Bahamas,"Alang, India",Chartworld Shipping Corporation ,Capricorn Shipping Corporation ,1990,unknown,5702,Reefer,Y,
Greece,Blue Shipmanagement Corporation ,Blue Mariner,8103286,Cyprus,"Alang, India",Blue Shipmanagement Corporation ,Addersea Shipping Company Limited ,1982,472,7604,Bulker,Y,
Greece,Cyprus Maritime Company Limited ,Pacific Express,8009454,Cyprus,"Alang, India",Cyprus Maritime Company Limited ,Estelle Shipping Company Limited ,1981,unknown,8815,General Cargo ship,Y,
Greece,Cyprus Maritime Company Limited ,Panamax Dawn,8100961,Cyprus,"Alang, India",Cyprus Maritime Company Limited ,Rosehill Shipping Company Limited ,1983,502,12367,Bulker,Y,
Greece,Cyprus Maritime Company Limited,Panamax Strength,8204420,Cyprus,"Alang, India",Cyprus Maritime Company Limited,Nafpaktos Shipping Company Limited ,1983,475,10982,Bulker,Y,
Greece,Cyprus Maritime Company Limited ,Panamax Success,8109137,Cyprus,"Alang, India",Cyprus Maritime Company Limited ,Tapton Shipping Company Limited ,1983,500,12197,Bulker,Y,
Greece,Cyprus Maritime Company Limited,Panamax Sun,8023967,Cyprus,"Alang, India",Cyprus Maritime Company Limited,Metromar Marine Company Limited ,1982,505,12299,Bulker,Y,
Greece,Danaos Corporation ,Montreal,8308109,Cyprus,"Alang, India",Danaos Shipping Company Limited ,Deleas Shipping Limited ,1984,482,14466,Containership,Y,
Greece,Kristen Marine S.A.,Ocean Leader,8314809,Cyprus,"Alang, India",Kristen Marine S.A.,Ocean Nav. Shipping Limited ,1984,505,6385,Bulker,N,
Greece,Marmaras Navigation Limited,Proikonissos,8309725,Cyprus,"Alang, India",Marmaras Navigation Limited,Seaglance Maritime Limited ,1985,425,6897,Bulker,Y,
Greece,Tsakos Shipping and Trading S.A.,MSC Rugby,8202111,Cyprus,"Alang, India",Tsakos Shipping and Trading S.A.,Melitea Shipping Company Limited ,1983,523,13891,Containership,Y,
Greece,Chandris Group,Zeinat 3,9053127,Egypt,"Alang, India",Pyramid Navigation Company E.S.A. ,Pyramid Navigation Company E.S.A. ,1995,510,16248,Product Tanker,N,
Greece,Regal Agencies Corporation,Tofton,7410826,Gibraltar,"Alang, India",Regal Agencies Corporation,Filon Company Limited ,1980,465,6800,General Cargo ship,Y,
Greece,Albamar Shipping Company S.A. ,Artemis,8314794,Greece,"Alang, India",Albamar Shipping Company S.A. ,Kapalua Shipping Corporation ,1984,410,6400,Bulker,N,
Greece,Costamare Incorporated ,MSC Washington,8300145,Greece,"Alang, India",Costamare Shipping Company S.A. ,Honaker Shipping Company ,1984,unknown,19220,Containership,Y,
Greece,Melody Shipping Company,Archagelos,7383451,Greece,"Alang, India",Melody Shipping Company,Archagelos A. Shipping Company ,1975,unknown,4551,Ro-Ro,N,
Greece,The Veniamis Group,Eleftheria ,8204418,Greece,"Alang, India",Golden Union Shipping Company S.A. ,Maritime Dream S.A. ,1983,425,10928,Bulker,Y,
Greece,The Veniamis Group,SD Progress,8806034,Greece,"Alang, India",Golden Union Shipping Company S.A. ,Sea Orientation S.A. ,1989,425,11500,Bulker,Y,
Greece,Costamare Incorporated,Horizon,8618413,Hong Kong,"Alang, India",Costamare Shipping Company S.A. ,Denor Shipping Company ,1991,428,8306,Containership,Y,
Greece,Naftomar Shipping & Trading Company Limited ,Pataliputra,8409757,India,"Alang, India",Naftomar Shipping & Trading Company Limited ,Holborn Shipping Incorporated ,1987,unknown,10253,Bulker,Y,
Greece,Cosmoship Management S.A.,Endeavour,8421212,Liberia,"Alang, India",Cosmoship Management S.A.,Golden Flame Marine S.A.,1986,480,4710,Containership,N,
Greece,Cosmoship Management S.A. ,MSC Ukraine,8302155,Liberia,"Alang, India",Cosmoship Management S.A. ,Glory C. Shipping Incorporated ,1989,422,13190,Containership,Y,
Greece,Dragnis Group,MSC Finland,8511184,Liberia,"Alang, India",Goldenport Shipmanagement Limited ,Hinter Marine S.A. ,1986,470,15000,Containership,Y,
Greece,Konstantakopoulos Group,Reunion,8208921,Liberia,"Alang, India",Ciel Shipmanagement S.A. ,Careva Shipping Company ,1983,476,8550,Containership,N,
Greece,Larus S.A.,Nama,7433206,Liberia,"Alang, India",Larus S.A.,Stone Maritime Incorporated ,1988,482,4735,General Cargo ship,Y,
Greece,Lavinia Corporation Limited,Africa Reefer,8130942,Liberia,"Alang, India",Lavinia Corporation Limited,Melville Services Incorporated ,1982,unknown,5220,Reefer,Y,
Greece,Lavinia Corporation Limited,Montevideo,8312033,Liberia,"Alang, India",Lavinia Corporation Limited,Pompey Investments Corporation ,1983,390,4992,Reefer,Y,
Greece,Lavinia Corporation Limited,Pusan Reefer,8316077,Liberia,"Alang, India",Lavinia Corporation Limited,SeaDream Development Corporation ,1984,unknown,5248,Reefer,Y,
Greece,Polembros Shipping Limited,Theotokos,8023656,Liberia,"Alang, India",Polembros Shipping Limited,Mirage Navigation Corporation ,1984,517,13943,Bulker,Y,
Greece,Rainbow Shipmanagement S.A.,Andros R.,8125961,Liberia,"Alang, India",Rainbow Shipmanagement S.A.,Samos Island Shipping S.A. ,1985,435,10983,Bulker,Y,
Greece,Skoukla Incorporated,Olemare,8118815,Liberia,"Alang, India",Skoukla Incorporated,Olemare Shipping Company Limited ,1984,435,7742,Bulker,N,
Greece,Tsakos Shipping and Trading S.A. ,Don ,8502884,Liberia,"Alang, India",Tsakos Shipping and Trading S.A. ,Wilmington Shipping Corporation ,1986,unknown,14148,Containership,Y,
Greece,A.B. Maritime Incorporated,Spyros B.,8309880,Malta,"Alang, India",A.B. Maritime Incorporated,Spyros B. Maritime Limited ,1985,475,9262,Bulker,Y,
Greece,Ark Shipping S.A.,Ocean Star,8103183,Malta,"Alang, India",Ark Shipping S.A.,Kornis Maritime Limited ,1982,500,5945,Bulker,Y,
Greece,Dragnis Group,Alex D.,8729640,Malta,"Alang, India",Goldenport Shipmanagement Limited ,Karana Ocean Shipping Company Limited ,1989,487,13752,Bulker,Y,
Greece,Dragnis Group ,Tilos,9045390,Malta,"Alang, India",Goldenport Shipmanagement Limited,Carina Maritime Limited ,1991,404,13736,Bulker,Y,
Greece,Leros Management S.A. ,Conqueror,8223579,Malta,"Alang, India",Leros Management S.A. ,San Moritz Maritime Company ,1985,unknown,7760,Bulker,Y,
Greece,Leros Management S.A. ,Warrior,8323202,Malta,"Alang, India",Leros Management S.A. ,Twilight Marine Limited ,1984,unknown,7148,Bulker,Y,
Greece,Technomar Shipping Incorporated ,Este,8818178,Malta,"Alang, India",Technomar Shipping Incorporated ,Trieste Shipping S.A. ,1993,unknown,17259,Containership,Y,
Greece,Star Bulk Carriers Corporation ,Star Ypsilon,8914257,Marshall Islands,"Alang, India",Star Bulk Management Incorporated ,Star Ypsilon LLC ,1991,480,19158,Bulker,Y,
Greece,Transbulk Management Incorporated,Otrada,8307210,Marshall Islands,"Alang, India",Transbulk Management Incorporated,Hurst Shipholding S.A. ,1984,415,7898,Bulker,Y,
Greece,Transman Shipping Enterprises S.A. ,MSC Lugano,8714217,Marshall Islands,"Alang, India",Transman Shipmanagers S.A.,Castor Trading Company ,1988,446,13970,Containership,Y,
